State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,Area (in ha),TOT_P,Class,VP/MC,VP Area,VP Population,Forest Area (in Hectares),Area under Non-Agricultural Uses (in Hectares),Barren & Un-cultivable Land Area (in Hectares),Permanent Pastures and Other Grazing Land Area (in Hectares),Land Under Miscellaneous Tree Crops etc. Area (in Hectares),Culturable Waste Land Area (in Hectares),Fallows Land other than Current Fallows Area (in Hectares),Current Fallows Area (in Hectares),Net Area Sown (in Hectares),Total Unirrigated Land Area (in Hectares),Area Irrigated by Source (in Hectares),Canals Area (in Hectares),Wells/Tube Wells Area (in Hectares),Tanks/Lakes Area (in Hectares),Waterfall Area (in Hectares),Other Source (specify) Area (in Hectares)
30,586,05617,626950,0000,000000,VILLAGE,Fatorpa ,Rural,810,2378,C,Fatorpa,1549,3949,0,260.5,0,0,0,118,0,0,431.5,415.5,16,0,5,0,2,9
30,585,05611,626721,0000,000000,VILLAGE,Gancim ,Rural,300.76,519,D,Batim,576.28,2008,0,14.52,0,0,9.2,0,2.03,0,275.01,270.93,4.08,0,0,0,0,4.08
30,586,05616,626896,0000,000000,VILLAGE,Gandaulim ,Rural,134.04,438,D,Colva,608,6987,0,2.1,0,0,0,0,0,0,35.9,34.7,1.2,0,0,0,0,1.2
30,585,05611,626713,0000,000000,VILLAGE,Gandaulim ,Rural,38,301,D,Cumbarjua,374.04,5218,0,1,30,0,8.04,0,0,0,95,32.05,62.95,0,0,0,0,62.95
30,585,05614,626852,0000,000000,VILLAGE,Gangem ,Rural,544.05,473,D,Usgao-Gangem,3084.05,12909,422.38,0,0,0,0,54.25,0,15.32,52.1,50.94,1.16,0,1.16,0,0,0
30,586,05619,627025,0000,000000,VILLAGE,Gaodongrem ,Rural,6193.6,4946,C,Gaodongrem,6194,4946,0,462,0,0,0,656.8,0,0,5074.8,5068.2,6.6,0,1.5,1.5,0,3.6
30,585,05611,626717,0000,000000,VILLAGE,Goalim Moula ,Rural,318.78,441,D,Curca -Bambolim -Talaulim,1778.86,10816,0,0,132.34,0,0,0.4,9.04,0,177,171,6,0,0,0,0,6
30,586,05617,626962,0000,000000,VILLAGE,Gocoldem ,Rural,1076,579,D,Barcem,5840,4437,750.8,22.1,0,0,0,140.4,0,0,162.7,155.7,7,0,2,0,5,0
30,585,05613,626776,0000,000000,VILLAGE,Golauli ,Rural,657.16,297,D,Dongurli- Thane,6901.66,5488,0,8.85,0,0,0,0.61,175.2,65.3,407.2,405.63,1.57,0,1.57,0,0,0
30,585,05611,626710,0000,000000,VILLAGE,Goltim ,Rural,352.09,1634,D,Goltim-Navelim,708.55,2767,0,106,0,0,0,30.07,0,0,216.02,215.97,0.05,0,0,0.05,0,0
30,586,05616,626894,0000,000000,VILLAGE,Gonsua ,Rural,47,222,D,Betalbatim,494,3773,0,9.5,0,0,0,0.4,0,0,37.1,33.3,3.8,0,0,0,0,3.8
30,585,05613,626768,0000,000000,VILLAGE,Gonteli ,Rural,280.85,1634,D,Querim,4147.5,5713,36.65,11.13,0,0,0,8,7,4.31,213.76,53,160.76,120,40.76,0,0,0
30,585,05613,626837,0000,000000,VILLAGE,Govanem ,Rural,431.26,161,D,Cotorem,3993.35,4102,258.34,2.1,24.25,0,2.3,57.22,7.05,9.1,70.9,70.9,0,0,0,0,0,0
30,586,05616,626903,0000,000000,VILLAGE,Guirdolim ,Rural,765,3622,C,Guirdolim,765,3622,0,100,0,0,0,297.9,0,0,367.1,274.1,93,93,0,0,0,0
30,585,05613,626828,0000,000000,VILLAGE,Guleli ,Rural,201.33,490,D,Guleli,2871.2,3119,0,1.29,51.54,0,0,47.09,0.1,0.45,100.86,20.86,80,80,0,0,0,0
30,585,05613,626784,0000,000000,VILLAGE,Gululem ,Rural,790.65,0,D,Querim,4147.5,5713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,585,05609,626650,0000,000000,VILLAGE,Ibrampur ,Rural,673.75,2429,C,Ibrampur,673.75,2429,139.28,64.74,0,0,0,159.82,0,0,309.91,299.28,10.63,0,0,0,0,10.63
30,586,05615,626879,0000,000000,VILLAGE,Issorcim ,Rural,273,841,D,Velsao,676,4351,0,84.5,0,0,0,45,15,0,128.5,101.5,27,0,7,20,0,0
